\lambda [nm]	
378.2200012	-0.000288648
378.3999939	-0.000289759
378.5799866	-0.000290365
378.7599792	-0.000298407
378.9400024	-0.000293586
379.1199951	-0.000285438
379.2999878	-0.000288771
379.4799805	-0.000289703
379.6600037	-0.000292967
379.8399963	-0.000305215
380.019989	-0.000287913
380.1999817	-0.000295151
380.3800049	-0.000287638
380.5599976	-0.000290371
380.7399902	-0.000284914
380.9199829	-0.000287264
381.1000061	-0.000288843
381.2799988	-0.000290104
381.4599915	-0.000287121
381.6399841	-0.000292931
381.8200073	-0.000292038
382	-0.000289291
382.1799927	-0.000287489
382.3599854	-0.00028929
382.539978	-0.000292763
382.7200012	-0.000284683
382.8999939	-0.000285073
383.0799866	-0.000299982
383.2599792	-0.000292614
383.4400024	-0.000284646
383.6199951	-0.000285627
383.7999878	-0.000288678
383.9799805	-0.000284423
384.1600037	-0.000286372
384.3399963	-0.000284829
384.519989	-0.000285987
384.6999817	-0.000287047
384.8800049	-0.000285685
385.0599976	-0.000281439
385.2399902	-0.00027754
385.4199829	-0.000275378
385.6000061	-0.000285402
385.7799988	-0.00027983
385.9599915	-0.000275949
386.1399841	-0.000285603
386.3200073	-0.000269385
386.5	-0.000270954
386.6799927	-0.000272902
386.8599854	-0.000258708
387.039978	-0.000260176
387.2200012	-0.000242135
387.3999939	-0.000231682
387.5799866	-0.000210042
387.7599792	-0.000172688
387.9400024	-0.000132103
388.1199951	-6.87206E-05
388.2999878	9.05099E-05
388.4799805	0.000344121
388.6600037	0.000824454
388.8399963	0.001603939
389.019989	0.002441891
389.1999817	0.00308607
389.3800049	0.003164805
389.5599976	0.002767855
389.7399902	0.002064173
389.9199829	0.001454287
390.1000061	0.001083552
390.2799988	0.000859406
390.4599915	0.000719468
390.6399841	0.000665646
390.8200073	0.000626664
391	0.000646143
391.1799927	0.000676572
391.3599854	0.000751038
391.539978	0.000835241
391.7200012	0.000971173
391.8999939	0.001139359
392.0799866	0.001361535
392.2599792	0.001606711
392.4400024	0.001917672
392.6199951	0.002262147
392.7999878	0.002678795
392.9799805	0.003095199
393.1600037	0.003514723
393.3399963	0.003834263
393.519989	0.004065854
393.6999817	0.004265617
393.8800049	0.004303054
394.0599976	0.004325221
394.2399902	0.004324325
394.4199829	0.00426387
394.6000061	0.004251434
394.7799988	0.00424251
394.9599915	0.004293174
395.1399841	0.004366837
395.3200073	0.004513061
395.5	0.004719803
395.6799927	0.005019768
395.8599854	0.005422706
396.039978	0.005899794
396.2200012	0.006539625
396.3999939	0.007328594
396.5799866	0.008314496
396.7599792	0.009525728
396.9400024	0.011156657
397.1199951	0.01314973
397.2999878	0.015755417
397.4799805	0.019272044
397.6600037	0.023408163
397.8399963	0.02890939
398.019989	0.036653693
398.1999817	0.046215205
398.3800049	0.05945456
398.5599976	0.077111549
398.7399902	0.098399525
398.9199829	0.12633584
399.1000061	0.162815762
399.2799988	0.205237484
399.4599915	0.253865566
399.6399841	0.311264896
399.8200073	0.363007927
400	0.415211334
400.1799927	0.469088287
400.3599854	0.514050255
400.539978	0.556729622
400.7200012	0.596663895
400.8999939	0.632120438
401.0799866	0.668025894
401.2599792	0.705398941
401.4400024	0.744048157
401.6199951	0.782035523
401.7999878	0.82295372
401.9799805	0.856731567
402.1600037	0.888880005
402.3399963	0.919989319
402.519989	0.942931061
402.6999817	0.962011871
402.8800049	0.975168381
403.0599976	0.982870255
403.2399902	0.98533905
403.4199829	0.986762848
403.6000061	0.98405159
403.7799988	0.981317749
403.9599915	0.977141647
404.1399841	0.974400787
404.3200073	0.971631317
404.5	0.970005646
404.6799927	0.969405136
404.8599854	0.968743057
405.039978	0.969634171
405.2200012	0.970755005
405.3999939	0.972390289
405.5799866	0.974017716
405.7599792	0.976009827
405.9400024	0.978254852
