\lambda [nm]	
440.6799927	0.00016326
440.8599854	0.000169417
441.0400085	0.000167734
441.2200012	0.000170041
441.3999939	0.000174157
441.5799866	0.000185059
441.7600098	0.000191822
441.9400024	0.000196187
442.1199951	0.000206985
442.2999878	0.000214219
442.4799805	0.000222327
442.6600037	0.000242574
442.8399963	0.000258194
443.019989	0.000271474
443.1999817	0.000292841
443.3800049	0.000315398
443.5599976	0.000342163
443.7399902	0.000369256
443.9199829	0.000397244
444.1000061	0.000428728
444.2799988	0.00046298
444.4599915	0.00050722
444.6399841	0.00054845
444.8200073	0.000599456
445	0.00064505
445.1799927	0.000693187
445.3599854	0.000738844
445.5400085	0.000802355
445.7200012	0.000860665
445.8999939	0.000927379
446.0799866	0.000994125
446.2600098	0.001043374
446.4400024	0.001112882
446.6199951	0.001178176
446.7999878	0.00124386
446.9799805	0.001313476
447.1600037	0.001379025
447.3399963	0.001452196
447.519989	0.001509148
447.6999817	0.001566522
447.8800049	0.001628663
448.0599976	0.001651885
448.2399902	0.001671465
448.4199829	0.00167531
448.6000061	0.001660932
