\lambda [nm]	
419.0799866	-0.000285977
419.2599792	-0.000292717
419.4400024	-0.000295245
419.6199951	-0.000291076
419.7999878	-0.00029392
419.9799805	-0.000287375
420.1600037	-0.000296321
420.3399963	-0.000288058
420.519989	-0.000293635
420.6999817	-0.000285496
420.8800049	-0.00028876
421.0599976	-0.000292392
421.2399902	-0.000294209
421.4199829	-0.000288741
421.6000061	-0.00028583
421.7799988	-0.000290616
421.9599915	-0.000289616
422.1399841	-0.000288605
422.3200073	-0.000291079
422.5	-0.000287255
422.6799927	-0.000287758
422.8599854	-0.000288016
423.0400085	-0.000288687
423.2200012	-0.00028268
423.3999939	-0.000287
423.5799866	-0.000285082
423.7599792	-0.000289745
423.9400024	-0.000291609
424.1199951	-0.000282912
424.2999878	-0.000287792
424.4799805	-0.000287718
424.6600037	-0.000284745
424.8399963	-0.000287608
425.019989	-0.000291091
425.1999817	-0.000284887
425.3800049	-0.000291764
425.5599976	-0.000289706
425.7399902	-0.00028956
425.9199829	-0.000286312
426.1000061	-0.00028358
426.2799988	-0.000280188
426.4599915	-0.00028718
426.6399841	-0.000289445
426.8200073	-0.00028627
427	-0.000286373
427.1799927	-0.000289145
427.3599854	-0.000289543
427.5400085	-0.00028494
427.7200012	-0.000287144
427.8999939	-0.00028754
428.0799866	-0.000289603
428.2599792	-0.000287206
428.4400024	-0.000287923
428.6199951	-0.000288151
428.7999878	-0.000285515
428.9799805	-0.00028118
429.1600037	-0.000285481
429.3399963	-0.000282851
429.519989	-0.000286439
429.6999817	-0.00028526
429.8800049	-0.000281315
430.0599976	-0.000278486
430.2399902	-0.000279914
430.4199829	-0.000282703
430.6000061	-0.000275169
430.7799988	-0.000270101
430.9599915	-0.000268477
431.1399841	-0.000260648
431.3200073	-0.000245571
431.5	-0.000243012
431.6799927	-0.000221843
431.8599854	-0.00021297
432.0400085	-0.000200504
432.2200012	-0.000197695
432.3999939	-0.000209823
432.5799866	-0.000217634
432.7599792	-0.00023115
432.9400024	-0.000240404
433.1199951	-0.000246854
433.2999878	-0.000254311
433.4799805	-0.000259536
433.6600037	-0.00026392
433.8399963	-0.000261547
434.019989	-0.000267268
434.1999817	-0.000266689
434.3800049	-0.000268871
434.5599976	-0.000274013
434.7399902	-0.000269577
434.9199829	-0.000268143
435.1000061	-0.000267297
435.2799988	-0.0002676
435.4599915	-0.000270923
435.6399841	-0.000271712
435.8200073	-0.000268404
436	-0.000270991
436.1799927	-0.000271308
436.3599854	-0.000271281
436.5400085	-0.000271294
436.7200012	-0.000271956
436.8999939	-0.000270757
437.0799866	-0.000273338
437.2600098	-0.000269948
437.4400024	-0.000277037
437.6199951	-0.000278022
437.7999878	-0.000271131
437.9799805	-0.000279537
438.1600037	-0.000276367
438.3399963	-0.000278604
438.519989	-0.000278103
438.6999817	-0.000279046
438.8800049	-0.000279409
439.0599976	-0.000282287
439.2399902	-0.000277431
439.4199829	-0.000285821
439.6000061	-0.000280615
439.7799988	-0.000281169
439.9599915	-0.000282913
440.1399841	-0.000284304
440.3200073	-0.000285338
440.5	-0.000277591
440.6799927	-0.000281302
440.8599854	-0.000287582
441.0400085	-0.000282411
441.2200012	-0.000284373
441.3999939	-0.000289018
441.5799866	-0.000282638
441.7600098	-0.000285657
441.9400024	-0.000287398
442.1199951	-0.000285684
442.2999878	-0.000288651
442.4799805	-0.000289729
442.6600037	-0.000289365
442.8399963	-0.00028957
443.019989	-0.000287086
443.1999817	-0.000290891
443.3800049	-0.000286601
443.5599976	-0.000284246
443.7399902	-0.000285144
443.9199829	-0.000286381
444.1000061	-0.000289603
444.2799988	-0.000288499
444.4599915	-0.000284823
444.6399841	-0.000285049
444.8200073	-0.000286344
445	-0.000290228
445.1799927	-0.00028879
445.3599854	-0.000286481
445.5400085	-0.000285644
445.7200012	-0.000288045
445.8999939	-0.000287339
446.0799866	-0.000288527
446.2600098	-0.000287509
446.4400024	-0.000295143
446.6199951	-0.000285981
446.7999878	-0.000284463
446.9799805	-0.000287289
447.1600037	-0.00028867
447.3399963	-0.000289774
447.519989	-0.000286792
447.6999817	-0.000285495
447.8800049	-0.000287248
448.0599976	-0.000287658
448.2399902	-0.000289349
448.4199829	-0.000289424
448.6000061	-0.000289756
448.7799988	-0.000285409
448.9599915	-0.000285958
449.1399841	-0.00028827
449.3200073	-0.000289208
449.5	-0.000287284
449.6799927	-0.000288986
449.8599854	-0.00028756
450.0400085	-0.000286833
450.2200012	-0.000291785
450.3999939	-0.000293057
450.5799866	-0.00029155
450.7600098	-0.000290757
450.9400024	-0.000288008
451.1199951	-0.000290659
451.2999878	-0.000290332
451.4799805	-0.000284427
451.6600037	-0.00028925
451.8399963	-0.000282963
452.019989	-0.000289105
452.1999817	-0.000284995
452.3800049	-0.0002902
452.5599976	-0.000289073
452.7399902	-0.000289527
452.9199829	-0.000286857
453.1000061	-0.000287251
453.2799988	-0.000285928
453.4599915	-0.000283753
453.6399841	-0.000290283
453.8200073	-0.000286528
454	-0.000287514
454.1799927	-0.000287089
454.3599854	-0.000290712
454.5400085	-0.000286851
454.7200012	-0.000289009
454.8999939	-0.000285923
455.0799866	-0.000286115
455.2600098	-0.000287028
455.4400024	-0.000285688
455.6199951	-0.000286918
455.7999878	-0.000290448
455.9799805	-0.000287262
456.1600037	-0.000286744
456.3399963	-0.000285454
456.519989	-0.00028903
456.6999817	-0.000286264
456.8800049	-0.000291185
457.0599976	-0.000287302
457.2399902	-0.000286576
457.4199829	-0.000286569
457.6000061	-0.000287873
457.7799988	-0.000285817
457.9599915	-0.000285611
458.1399841	-0.000289569
458.3200073	-0.000283169
458.5	-0.000290508
458.6799927	-0.000290803
458.8599854	-0.000289249
459.0400085	-0.000287552
459.2200012	-0.000286497
459.3999939	-0.000287254
459.5799866	-0.000284753
459.7600098	-0.000285578
459.9400024	-0.000287131
460.1199951	-0.000285042
460.2999878	-0.000287297
460.4799805	-0.000286307
460.6600037	-0.000288475
460.8399963	-0.000287827
461.019989	-0.000290989
461.1999817	-0.000288987
461.3800049	-0.00029061
461.5599976	-0.000292217
461.7399902	-0.000294431
461.9199829	-0.000289639
462.1000061	-0.000284769
462.2799988	-0.000287805
462.4599915	-0.000284266
462.6399841	-0.000292991
462.8200073	-0.000286919
463	-0.000287232
463.1799927	-0.000289459
463.3599854	-0.0002923
463.5400085	-0.000290924
463.7200012	-0.000288596
463.8999939	-0.000288916
464.0799866	-0.000289737
464.2600098	-0.000286848
464.4400024	-0.000294175
464.6199951	-0.000287095
464.7999878	-0.000289703
464.9799805	-0.000284323
465.1600037	-0.000291113
465.3399963	-0.000287802
465.519989	-0.000289173
465.6999817	-0.00028485
465.8800049	-0.000286989
466.0599976	-0.000289637
466.2399902	-0.000289924
466.4199829	-0.000285379
466.6000061	-0.000287583
466.7799988	-0.00029315
466.9599915	-0.000289874
467.1399841	-0.000289503
467.3200073	-0.000285156
467.5	-0.000286994
467.6799927	-0.000287956
467.8599854	-0.000290619
468.0400085	-0.000283547
468.2200012	-0.000286659
468.3999939	-0.00028625
468.5799866	-0.000286564
468.7600098	-0.000288916
468.9400024	-0.000287972
469.1199951	-0.000289911
469.2999878	-0.000286336
469.480011	-0.000293187
469.6600037	-0.000284864
469.8399963	-0.000289817
470.019989	-0.000287392
470.1999817	-0.000286974
470.3800049	-0.000285218
470.5599976	-0.000288965
470.7399902	-0.000287368
470.9199829	-0.000286782
471.1000061	-0.000287546
471.2799988	-0.000290055
471.4599915	-0.000289426
471.6399841	-0.000286547
471.8200073	-0.00029086
472	-0.000284269
472.1799927	-0.000289866
472.3599854	-0.000287194
472.5400085	-0.000286366
472.7200012	-0.000289598
472.8999939	-0.00028475
473.0799866	-0.000287472
473.2600098	-0.00028436
473.4400024	-0.000287522
473.6199951	-0.000288873
473.7999878	-0.000287325
473.980011	-0.000290052
474.1600037	-0.000290482
474.3399963	-0.000287556
474.519989	-0.000285769
474.6999817	-0.000290138
474.8800049	-0.000286985
475.0599976	-0.000292204
475.2399902	-0.000287404
475.4199829	-0.000285876
475.6000061	-0.000289242
