\lambda [nm]	
419.9799805	-0.000285876
420.1600037	-0.0002911
420.3399963	-0.000284173
420.519989	-0.000286733
420.6999817	-0.000281212
420.8800049	-0.000282348
421.0599976	-0.000286492
421.2399902	-0.00028776
421.4199829	-0.000280678
421.6000061	-0.000278227
421.7799988	-0.00028112
421.9599915	-0.000278888
422.1399841	-0.00027648
422.3200073	-0.000278691
422.5	-0.000272111
422.6799927	-0.000272341
422.8599854	-0.000270031
423.0400085	-0.000266378
423.2200012	-0.000257033
423.3999939	-0.000256465
423.5799866	-0.000247484
423.7599792	-0.000249494
423.9400024	-0.000245679
424.1199951	-0.000235327
424.2999878	-0.000233313
424.4799805	-0.000222746
424.6600037	-0.0002156
424.8399963	-0.000215881
425.019989	-0.000215096
425.1999817	-0.000208119
425.3800049	-0.000208672
425.5599976	-0.000207692
425.7399902	-0.000208436
425.9199829	-0.000212568
426.1000061	-0.000210879
426.2799988	-0.000212376
426.4599915	-0.000225066
426.6399841	-0.000231557
426.8200073	-0.000234028
427	-0.000240651
427.1799927	-0.000245255
427.3599854	-0.000248861
427.5400085	-0.000252974
427.7200012	-0.000257447
427.8999939	-0.000260677
428.0799866	-0.000266469
428.2599792	-0.000269117
428.4400024	-0.000268587
428.6199951	-0.00027224
428.7999878	-0.000270585
428.9799805	-0.000271993
429.1600037	-0.000275075
429.3399963	-0.000276261
429.519989	-0.000278598
429.6999817	-0.000278546
429.8800049	-0.00027429
430.0599976	-0.000277148
430.2399902	-0.000278479
430.4199829	-0.000281991
430.6000061	-0.000277955
430.7799988	-0.000279409
430.9599915	-0.000279643
431.1399841	-0.000281384
431.3200073	-0.000275737
431.5	-0.000283336
431.6799927	-0.000276748
431.8599854	-0.000279218
432.0400085	-0.000277513
432.2200012	-0.000277357
432.3999939	-0.000280142
432.5799866	-0.000276502
432.7599792	-0.000280471
432.9400024	-0.000277788
433.1199951	-0.000276401
433.2999878	-0.000279989
433.4799805	-0.000279734
433.6600037	-0.000282162
433.8399963	-0.000275402
434.019989	-0.000279497
434.1999817	-0.000276239
434.3800049	-0.000279486
434.5599976	-0.000282511
434.7399902	-0.000278831
434.9199829	-0.00027691
435.1000061	-0.000275986
435.2799988	-0.000277295
435.4599915	-0.000277877
435.6399841	-0.000278146
435.8200073	-0.000275393
436	-0.000277479
436.1799927	-0.000276862
436.3599854	-0.000276728
436.5400085	-0.00027579
436.7200012	-0.000278276
436.8999939	-0.000271764
437.0799866	-0.000271853
437.2600098	-0.000270752
437.4400024	-0.000272931
437.6199951	-0.000272258
437.7999878	-0.000266472
437.9799805	-0.000270366
438.1600037	-0.000266343
438.3399963	-0.000265526
438.519989	-0.000265542
438.6999817	-0.000263919
438.8800049	-0.00026097
439.0599976	-0.000263774
439.2399902	-0.000257664
439.4199829	-0.000265746
439.6000061	-0.000261206
439.7799988	-0.000257665
439.9599915	-0.000264724
440.1399841	-0.000262927
440.3200073	-0.000262892
440.5	-0.000259651
440.6799927	-0.00026004
440.8599854	-0.00026839
441.0400085	-0.000262842
441.2200012	-0.000268381
441.3999939	-0.000271101
441.5799866	-0.000266728
441.7600098	-0.000266697
441.9400024	-0.000269815
442.1199951	-0.000272318
442.2999878	-0.000275055
442.4799805	-0.000277362
442.6600037	-0.00027573
442.8399963	-0.000278748
443.019989	-0.000274154
443.1999817	-0.000281492
443.3800049	-0.000276253
443.5599976	-0.000272212
443.7399902	-0.000274949
443.9199829	-0.000274263
444.1000061	-0.000276152
444.2799988	-0.000277286
444.4599915	-0.000275075
444.6399841	-0.000276058
444.8200073	-0.000275439
445	-0.000278545
445.1799927	-0.000279063
445.3599854	-0.000276659
445.5400085	-0.000272856
445.7200012	-0.000277099
445.8999939	-0.000276554
446.0799866	-0.000274474
446.2600098	-0.000274341
446.4400024	-0.000279471
446.6199951	-0.000272281
446.7999878	-0.000272129
446.9799805	-0.000272282
447.1600037	-0.000273315
447.3399963	-0.000273195
447.519989	-0.000270644
447.6999817	-0.000266661
447.8800049	-0.000270786
448.0599976	-0.000270229
448.2399902	-0.000271837
448.4199829	-0.000270591
448.6000061	-0.000270932
448.7799988	-0.000265111
448.9599915	-0.00026752
449.1399841	-0.000264315
449.3200073	-0.000267812
449.5	-0.000266835
449.6799927	-0.000269282
449.8599854	-0.000269034
450.0400085	-0.000268113
450.2200012	-0.000269467
450.3999939	-0.000274239
450.5799866	-0.000273577
450.7600098	-0.000271903
450.9400024	-0.000272298
451.1199951	-0.000276025
451.2999878	-0.000276716
451.4799805	-0.0002749
451.6600037	-0.000277906
451.8399963	-0.000274748
452.019989	-0.000279079
452.1999817	-0.000277069
452.3800049	-0.000284169
452.5599976	-0.000282286
452.7399902	-0.000282547
452.9199829	-0.000281565
453.1000061	-0.000284812
453.2799988	-0.000284339
453.4599915	-0.000283739
453.6399841	-0.000288125
453.8200073	-0.000284167
454	-0.000283151
454.1799927	-0.000284399
454.3599854	-0.000286022
454.5400085	-0.000286904
454.7200012	-0.000287037
454.8999939	-0.00028339
455.0799866	-0.000283945
455.2600098	-0.000284509
455.4400024	-0.000281569
455.6199951	-0.000282939
455.7999878	-0.000287962
455.9799805	-0.000282579
456.1600037	-0.000281165
456.3399963	-0.000281644
456.519989	-0.00028472
456.6999817	-0.000279957
456.8800049	-0.00028631
457.0599976	-0.000282964
457.2399902	-0.000280421
457.4199829	-0.00027971
457.6000061	-0.000283433
457.7799988	-0.000280449
457.9599915	-0.000282032
458.1399841	-0.000284172
458.3200073	-0.00028137
458.5	-0.000286543
458.6799927	-0.0002871
458.8599854	-0.000286725
459.0400085	-0.000285766
459.2200012	-0.000282195
459.3999939	-0.000285619
459.5799866	-0.000282972
459.7600098	-0.000285339
459.9400024	-0.00028862
460.1199951	-0.000285593
460.2999878	-0.000287533
460.4799805	-0.000285196
460.6600037	-0.00028491
460.8399963	-0.000285992
461.019989	-0.000288559
461.1999817	-0.00028883
461.3800049	-0.000289786
461.5599976	-0.00028846
461.7399902	-0.0002927
461.9199829	-0.000288645
462.1000061	-0.000285824
462.2799988	-0.000284837
462.4599915	-0.000281846
462.6399841	-0.000289595
462.8200073	-0.000286845
463	-0.000285379
463.1799927	-0.000285194
463.3599854	-0.000290549
463.5400085	-0.000289971
463.7200012	-0.000287112
463.8999939	-0.000287084
464.0799866	-0.000286981
464.2600098	-0.000286771
464.4400024	-0.000291106
464.6199951	-0.000284995
464.7999878	-0.000289429
464.9799805	-0.000284956
465.1600037	-0.000287768
465.3399963	-0.000290188
465.519989	-0.000288748
465.6999817	-0.000282748
